127.0.0.1 - - [30/Apr/2022:14:14:26 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:14:28 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:14:28 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:14:28 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:14:39 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:14:47 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:14:52 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:17:00 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:20:27 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:20:27 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:20:27 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:21:00 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 7991
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:21:30 +0530] "POST /ORS_Project4/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:21:30 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:32:19 +0530] "GET /ORS_Project4/ctl/MarksheetCtl?id=3 HTTP/1.1" 200 7999
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:33:37 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:33:47 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:34:50 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:35:24 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:35:35 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13944
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:36:08 +0530] "GET /ORS_Project4/ctl/StudentCtl HTTP/1.1" 200 7405
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:36:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:36:17 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:36:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:01 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:02 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:09 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:09 +0530] "GET /ORS_Project4/ctl/UserCtl HTTP/1.1" 200 9277
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:43:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:52:47 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:53:07 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:53:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:54:24 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [30/Apr/2022:14:54:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
