127.0.0.1 - - [02/May/2022:15:10:19 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [02/May/2022:15:10:21 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [02/May/2022:15:10:21 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [02/May/2022:15:11:40 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [02/May/2022:15:17:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:18:28 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:18:54 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:19:06 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [02/May/2022:15:19:22 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:19:35 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:19:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:19:40 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:20:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:20:05 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:20:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:20:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:21:19 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [02/May/2022:15:21:53 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [02/May/2022:15:28:05 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [02/May/2022:15:28:11 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [02/May/2022:15:31:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:32:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [02/May/2022:15:33:28 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [02/May/2022:15:37:58 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [02/May/2022:15:38:03 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:39:35 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [02/May/2022:15:39:37 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:39:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:39:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:39:50 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:39:51 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [02/May/2022:15:39:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:40:06 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [02/May/2022:15:40:24 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [02/May/2022:15:40:31 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [02/May/2022:15:40:33 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [02/May/2022:15:41:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2022:15:41:34 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [02/May/2022:15:41:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/May/2022:15:45:30 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [02/May/2022:15:45:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/May/2022:15:45:42 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [02/May/2022:15:45:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/May/2022:15:46:15 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [02/May/2022:15:46:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [02/May/2022:15:47:25 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
