127.0.0.1 - - [30/Jun/2022:14:46:04 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:05 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:06 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:08 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:11 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:34 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:34 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:39 +0530] "GET /ORS_Project4/ctl/SubjectCtl HTTP/1.1" 200 5537
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:53 +0530] "POST /ORS_Project4/ctl/SubjectCtl HTTP/1.1" 200 5666
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:59 +0530] "GET /ORS_Project4/ctl/StudentListCtl HTTP/1.1" 200 12616
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:46:59 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:47:08 +0530] "GET /ORS_Project4/ctl/SubjectListCtl HTTP/1.1" 200 11399
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:47:16 +0530] "POST /ORS_Project4/ctl/SubjectListCtl HTTP/1.1" 200 8968
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:48:48 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:48:54 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:54:29 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:55:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:56:14 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [30/Jun/2022:14:56:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2606
