127.0.0.1 - - [14/Jul/2022:14:02:41 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:02:43 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:02:43 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:02:47 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:02:49 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:03:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:03:13 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:03:21 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:03:25 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:03:25 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:03:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:05:34 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:05:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:08:33 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:08:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:08:46 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:08:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:09:01 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:09:09 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:10:31 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:11:11 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:28:51 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [14/Jul/2022:14:28:59 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2603
