127.0.0.1 - - [21/Sep/2022:13:28:02 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:28:05 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:28:05 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:30:28 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:32:42 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:33:18 +0530] "GET /ORS_Project4/LoginCtl/ctl/ HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:33:18 +0530] "GET /ORS_Project4/img/error_404.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:33:18 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:33:30 +0530] "GET /ORS_Project4/ctl/ HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:35:58 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:36:11 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:36:13 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:36:21 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:36:21 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:36:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:36:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:42:23 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:46:10 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:46:43 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:26 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:29 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:29 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:39 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:41 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:47:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:49:21 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:49:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:49:29 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:49:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:34 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:40 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:42 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:43 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:43 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:51:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:52:32 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:52:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:56:50 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:56:50 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:56:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [21/Sep/2022:13:57:05 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
