127.0.0.1 - - [30/Jan/2023:14:23:23 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:23:25 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:23:25 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:23:25 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 931
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:25:56 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:27:14 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:38:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:38:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3315
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:39:32 +0530] "GET /ORS_Project4/ctl/MarksheetListCtl HTTP/1.1" 200 13885
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:39:32 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 200 95932
0:0:0:0:0:0:0:1 - - [30/Jan/2023:14:39:32 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 200 606
